Age,Gender,Sexuality,Ethnicity,EdLevel,CompanySize,Country,Employment,DevType(Position),Currency,CurrencySymbol,Salary,SalaryFreq,DollarizedSalary,YearsCode,YearsCodePro,OperatingSystem,DatabaseWantToWorkWith,DatabaseHaveWorkedWith,FrameworkWantToWorkWith,FrameworkHaveWorkedWith,LanguageWantToWorkWith,LanguageHaveWorkedWith,PlatformWantToWorkWith,PlatformHaveWorkedWith,SurveyYear
25-34 years old,Man,Straight / Heterosexual,Indian;South Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",India,"Employed, full-time","Developer, full-stack",Indian rupee,INR,2400000.0,Yearly,30953.0,9,9,Windows;Windows Subsystem for Linux (WSL),Cassandra;DynamoDB;Elasticsearch;Microsoft SQL Server;Redis,Cassandra;Elasticsearch;Microsoft SQL Server;Redis,ASP.NET Core ;Blazor;Node.js;React.js,Angular;ASP.NET Core ;Node.js,C#;Go;Python;Rust;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,AWS;Microsoft Azure,AWS,2022
25-34 years old,Man,Gay or Lesbian,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",Germany,"Employed, part-time",Academic researcher,European Euro,EUR,36000.0,Yearly,38392.0,8,3,Windows,,,,FastAPI,Python;Rust,MATLAB;Python,,,2022
25-34 years old,Man,Straight / Heterosexual,Indian;Asian;Southeast Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,UK,"Student, full-time;Employed, part-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Security professional",,,,,,12,,Linux-based;Windows;Windows Subsystem for Linux (WSL),CouchDB;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,ASP.NET Core ;Blazor;Deno;Express;Fastify;Flask;Node.js;React.js,ASP.NET Core ;Express;Flask;jQuery;Node.js;React.js,Assembly;C#;Crystal;Dart;Elixir;Erlang;F#;Go;Haskell;HTML/CSS;PowerShell;Python;Rust;SQL;TypeScript,Bash/Shell;C#;Dart;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,AWS;DigitalOcean;Linode;Microsoft Azure,DigitalOcean;Linode;Microsoft Azure,2022
25-34 years old,Man,,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,India,"Employed, full-time","Developer, full-stack",Indian rupee,INR,,Monthly,,6,5,Windows,Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Angular;ASP.NET;ASP.NET Core ;Blazor;jQuery;Node.js,Angular;ASP.NET;ASP.NET Core ;Blazor;jQuery;Node.js,C;C#;HTML/CSS;JavaScript;SQL,C;C#;HTML/CSS;JavaScript;SQL,AWS;Heroku,AWS;Heroku,2022
25-34 years old,Man,Straight / Heterosexual,Indian;Asian;South Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,India,"Employed, full-time","Developer, back-end",Indian rupee,INR,550000.0,Yearly,7093.0,7,5,,,,,,,Python,,,2022
25-34 years old,Man,Bisexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,128500.0,Yearly,128500.0,10,3,macOS,,IBM DB2;Oracle;Redis,Vue.js,Node.js;React.js,,HTML/CSS;Java;JavaScript;SQL,,AWS,2022
18-24 years old,Prefer not to say,Prefer not to say,Prefer not to say,Some college/university study without earning a degree,,USA,"Independent contractor, freelancer, or self-employed","Developer, desktop or enterprise applications;Developer, game or graphics;Project manager",,,,,,5,,Windows,,,,,Assembly;C++;Java;Rust,Assembly;C++;Java,,,2022
18-24 years old,Woman,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,India,"Employed, full-time","Developer, QA or test;Student",Indian rupee,INR,,,,8,Less than 1 year,Linux-based;macOS,Couchbase,Cassandra;Couchbase;Microsoft SQL Server;MongoDB;MySQL;Neo4j;Oracle,,,Python,C;C++;HTML/CSS;JavaScript;MATLAB;Python;Scala;SQL,AWS;Google Cloud;Microsoft Azure,AWS,2022
45-54 years old,Man,Straight / Heterosexual,Indian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,India,"Employed, full-time","Developer, desktop or enterprise applications;Engineering manager;Other (please specify):",Indian rupee,INR,3750000.0,Yearly,48365.0,23,22,Linux-based;Windows,Elasticsearch;MongoDB;MySQL,Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL,,Vue.js,Java,C;C++;Java;Scala,AWS,AWS;Microsoft Azure,2022
25-34 years old,Man,,Indian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,India,"Employed, full-time","Developer, mobile",Indian rupee,INR,,Monthly,,10,7,macOS,Microsoft SQL Server;MySQL;PostgreSQL,SQLite,,,Kotlin,Objective-C;Swift,,,2022
25-34 years old,Man,,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,India,"Employed, full-time","Developer, front-end",Indian rupee,INR,1000000.0,Yearly,12897.0,6,2,Windows,DynamoDB;Elasticsearch;MongoDB;MySQL;Neo4j;PostgreSQL;Firebase Realtime Database;Redis;SQLite,MongoDB;PostgreSQL;Firebase Realtime Database;Redis;SQLite,Deno;Express;Fastify;Gatsby;Next.js;Node.js;React.js,Express;Node.js;React.js,HTML/CSS;JavaScript;SQL;TypeScript,C++;HTML/CSS;Java;JavaScript;SQL;TypeScript,AWS;DigitalOcean;Firebase;Google Cloud;Heroku;Linode;Microsoft Azure,AWS;DigitalOcean;Firebase;Heroku;Linode;Microsoft Azure,2022
Under 18 years old,Man,Straight / Heterosexual,Indian,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,India,"Student, full-time",,,,,,,3,,,,,Django,Django,HTML/CSS;JavaScript;MATLAB;Python,HTML/CSS;Python,,,2022
25-34 years old,Man,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",Germany,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",European Euro,EUR,,Monthly,,16,12,Windows,MongoDB;MySQL,MySQL,Express;Node.js,Express;Node.js,HTML/CSS;Java;JavaScript,HTML/CSS;Java;JavaScript,Heroku,Heroku,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,India,"Employed, full-time","Developer, back-end",Indian rupee,INR,,Monthly,,6,2,macOS,MongoDB,PostgreSQL,FastAPI;Next.js,Django,Go,Python,AWS,Google Cloud,2022
,Man,,Indian,"Other doctoral degree (Ph.D., Ed.D., etc.)","10,000 or more employees",India,"Employed, full-time",Scientist,Indian rupee,INR,,,,,,Windows,,SQLite,Flask;React.js,Flask;jQuery,HTML/CSS;JavaScript;Python,Bash/Shell;HTML/CSS;JavaScript;Python,AWS;Microsoft Azure,AWS;Microsoft Azure,2022
18-24 years old,Woman,,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,India,"Employed, full-time","Developer, full-stack",Indian rupee,INR,,Monthly,,8,3,Windows,MongoDB;MySQL;Oracle,MongoDB;MySQL;Oracle,Angular;Express;Next.js;Node.js,Angular;Express;Next.js;Node.js,JavaScript;TypeScript,JavaScript;TypeScript,AWS;Microsoft Azure,AWS;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,Indian;Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,India,"Employed, full-time","Data scientist or machine learning specialist;Developer, back-end",Indian rupee,INR,700000.0,Monthly,108336.0,8,4,Windows,DynamoDB;MongoDB;MySQL,MongoDB;MySQL,FastAPI;Flask,FastAPI;Flask,Python;Solidity;SQL,C;C++;Python;SQL,Microsoft Azure,AWS;Heroku;Microsoft Azure,2022
25-34 years old,Woman,Bisexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, back-end;Student;DevOps specialist",United States dollar,USD,83000.0,Monthly,996000.0,4,2,Windows,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;MySQL,Angular.js;Express;Node.js;React.js;Vue.js,Vue.js,Go;HTML/CSS;JavaScript;Python;SQL,Go;HTML/CSS;JavaScript;SQL,,,2022
18-24 years old,Man,Straight / Heterosexual,Indian;Asian,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,India,"Student, full-time;Employed, part-time","Developer, front-end;Developer, full-stack;Developer, back-end;Student;Cloud infrastructure engineer;Product manager;Senior Executive (C-Suite, VP, etc.)",,,,,,5,,Linux-based,MongoDB;Redis,Microsoft SQL Server;MongoDB;Redis,Deno;Express;Next.js;Node.js;Nuxt.js;Ruby on Rails,Express;Flask;Next.js;Node.js;React.js,Bash/Shell;Go;HTML/CSS;JavaScript;Python;TypeScript,Assembly;Bash/Shell;C;C++;HTML/CSS;JavaScript;Python,AWS;Microsoft Azure,Google Cloud;Heroku;Microsoft Azure;VMware,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,India,"Employed, full-time","Developer, back-end;Other (please specify):;Cloud infrastructure engineer",Indian rupee,INR,4200000.0,Monthly,650016.0,7,3,Linux-based;macOS,Couchbase,Couchbase,Angular.js;Node.js;Vue.js,Vue.js,C++;Go;JavaScript;Python,C++;Erlang;Go;JavaScript;Python,AWS;Managed Hosting,AWS;Managed Hosting,2022
25-34 years old,Man,Straight / Heterosexual,European;North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,80000.0,Yearly,80000.0,5,2,Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL),MongoDB;Neo4j;PostgreSQL,DynamoDB;Elasticsearch;MongoDB;MySQL;Neo4j;PostgreSQL;Redis;SQLite,FastAPI,Angular;ASP.NET Core ;Blazor;Django;Express;FastAPI;Flask;Node.js;React.js,Go;Julia;Python;Rust;SQL,Bash/Shell;Go;HTML/CSS;JavaScript;Julia;Python;R;Rust;SQL;TypeScript,AWS,AWS;Google Cloud;Heroku,2022
55-64 years old,Man,Straight / Heterosexual,European,"Other doctoral degree (Ph.D., Ed.D., etc.)",100 to 499 employees,Germany,"Employed, full-time","Data scientist or machine learning specialist;Developer, full-stack;Academic researcher;Other (please specify):",European Euro,EUR,4500.0,Monthly,57588.0,35,28,Linux-based,,,,,C;HTML/CSS;Java;Python,Python,,,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,India,"Student, full-time;Employed, part-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Student;Developer, mobile",,,,,,3,,Linux-based;Windows,MongoDB;MySQL;PostgreSQL;SQLite,MongoDB;MySQL;PostgreSQL,Angular.js;Django;Node.js;React.js,Django,C#;Dart;Go;HTML/CSS;Java;JavaScript;Python,C;C++;Dart;Go;HTML/CSS;Java;JavaScript;Python,,,2022
18-24 years old,Man,Prefer not to say,European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Germany,"Student, full-time",,,,,,,4,,macOS,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,MariaDB;MySQL;SQLite,Express;Flask;Laravel;Node.js;Svelte,Express;jQuery;Next.js;Node.js;React.js;Svelte,HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,DigitalOcean,DigitalOcean,2022
45-54 years old,Man,Straight / Heterosexual,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",Germany,"Employed, full-time","Engineer, site reliability;Developer, back-end",European Euro,EUR,143366.0,Yearly,152891.0,21,18,macOS,MySQL;PostgreSQL;Redis;SQLite,MySQL;PostgreSQL;Redis;SQLite,,React.js,Elixir;Ruby;SQL,JavaScript;Ruby;SQL,Heroku,AWS;Google Cloud;Heroku,2022
55-64 years old,Man,Straight / Heterosexual,Indian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,India,"Employed, full-time","Developer, back-end",Indian rupee,INR,,,,35,32,Linux-based;macOS,Couchbase,Couchbase,Angular;Angular.js,Angular;Angular.js,Go;Java;JavaScript;SQL;TypeScript,Bash/Shell;C++;Erlang;Go;Java;JavaScript,AWS;Google Cloud;Microsoft Azure,AWS,2022
35-44 years old,Man,Straight / Heterosexual,White,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,Germany,"Employed, full-time","Developer, back-end;DevOps specialist",European Euro,EUR,6666.0,Monthly,85308.0,21,13,Linux-based,DynamoDB;SQLite,DynamoDB,Django,Django,Bash/Shell;Python,Bash/Shell;Python;SQL,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Other (please specify):",United States dollar,USD,180000.0,Yearly,180000.0,15,10,Windows;Windows Subsystem for Linux (WSL),Microsoft SQL Server,Elasticsearch;Microsoft SQL Server;MongoDB,Angular;ASP.NET Core ;Blazor,Angular,C#;HTML/CSS;TypeScript,C#;HTML/CSS;SQL;TypeScript,Microsoft Azure,Google Cloud,2022
45-54 years old,Man,Straight / Heterosexual,European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2 to 9 employees,Germany,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",European Euro,EUR,80000.0,Yearly,85315.0,30,23,Windows,Microsoft SQL Server;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,ASP.NET;ASP.NET Core ,ASP.NET;Node.js,C;C#;C++;Python;Rust;SQL,Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;Python;Rust;SQL;VBA,Microsoft Azure,Google Cloud;Microsoft Azure;VMware,2022
18-24 years old,Man,Straight / Heterosexual,Indian;Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,India,"Employed, full-time","Developer, full-stack",Indian rupee,INR,,Yearly,,15,2,Linux-based;Windows,,MySQL;PostgreSQL,Flask;React.js,ASP.NET;ASP.NET Core ;Flask;React.js,C#;C++;HTML/CSS;JavaScript;PowerShell;Python,C#;C++;HTML/CSS;JavaScript;MATLAB;PowerShell;Python,AWS;Google Cloud;Microsoft Azure,AWS;Google Cloud;Microsoft Azure,2022
45-54 years old,Man,Straight / Heterosexual,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",UK,"Independent contractor, freelancer, or self-employed","Engineer, data;Developer, full-stack;Developer, back-end;Product manager",Pound sterling,GBP,,,,20,6,Linux-based;macOS;Windows,MySQL;SQLite,SQLite,React.js;Vue.js,Flask,HTML/CSS;JavaScript;Python;Ruby,C;HTML/CSS;JavaScript;Python;Ruby,AWS,AWS,2022
18-24 years old,Man,Straight / Heterosexual,European,"Professional degree (JD, MD, etc.)",20 to 99 employees,Germany,"Employed, full-time","Developer, front-end;Developer, full-stack",European Euro,EUR,,Monthly,,8,6,Windows,,MySQL,Angular;Blazor;Node.js;Svelte,Angular;Angular.js;jQuery;Node.js,Assembly;C;C#;Lua;R;Rust;TypeScript,C#;Delphi;HTML/CSS;Java;JavaScript;SQL;TypeScript,,Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,Asian,Some college/university study without earning a degree,20 to 99 employees,India,"Employed, full-time","Developer, full-stack;Developer, mobile",Indian rupee,INR,20000.0,Monthly,3096.0,4,3,Linux-based,Cassandra;DynamoDB;Redis,Cloud Firestore;MariaDB;MySQL;PostgreSQL;SQLite,Angular;FastAPI;React.js,Django;Flask;jQuery,Bash/Shell;Dart;Ruby;TypeScript,HTML/CSS;JavaScript;Python;SQL,AWS;Google Cloud,DigitalOcean;Firebase;Heroku,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,UK,"Employed, full-time","Developer, full-stack",Pound sterling,GBP,71400.0,Yearly,89706.0,18,12,Windows,Microsoft SQL Server,Microsoft SQL Server,,,C#;JavaScript;PowerShell;SQL,C#;JavaScript;PowerShell;SQL,AWS;Microsoft Azure,AWS,2022
18-24 years old,Man,Straight / Heterosexual,Asian;Southeast Asian;South Asian,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,India,"Student, full-time;Student, part-time",,,,,,,7,,Linux-based;Windows Subsystem for Linux (WSL),DynamoDB;PostgreSQL;Redis,Cloud Firestore;Elasticsearch;MongoDB;MySQL;Firebase Realtime Database;SQLite,FastAPI;Next.js,Angular;Django;Express;Flask;jQuery;Node.js;React.js;Vue.js,Elixir;Objective-C;Rust;Swift,Assembly;Bash/Shell;C;C++;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,AWS;Microsoft Azure,Firebase;Google Cloud;VMware,2022
35-44 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",USA,"Employed, full-time",Data scientist or machine learning specialist;Academic researcher;Scientist,United States dollar,USD,214000.0,Yearly,214000.0,27,15,Linux-based;Windows,,,jQuery,jQuery,Bash/Shell;HTML/CSS;JavaScript;Python;Rust,Bash/Shell;C++;Go;HTML/CSS;JavaScript;MATLAB;Python;Rust,,AWS;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,India,"Employed, full-time","Developer, full-stack",Indian rupee,INR,2400000.0,Yearly,30953.0,12,9,Linux-based,MongoDB;Redis,MongoDB;MySQL;Redis,Express;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React.js;Svelte;Vue.js,Express;jQuery;Laravel;Next.js;Node.js;React.js,Dart;Go;HTML/CSS;JavaScript;PHP;SQL,Dart;Go;HTML/CSS;JavaScript;PHP;SQL,AWS;DigitalOcean;Google Cloud,AWS,2022
25-34 years old,Man,Straight / Heterosexual,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,Germany,"Employed, full-time","Developer, back-end;Project manager",European Euro,EUR,,,,12,5,Linux-based,PostgreSQL,PostgreSQL,Node.js;Vue.js,Node.js;Vue.js,C;C++;JavaScript;Python,C;C++;JavaScript;Python,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,Indian;Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,India,"Employed, full-time","Developer, full-stack",Indian rupee,INR,,Monthly,,8,6,Linux-based;Windows,Cassandra;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,MySQL,Django;Drupal;Express;FastAPI;Flask;Laravel;Node.js;React.js;Ruby on Rails,jQuery;Laravel;Node.js,Dart;Go;PHP;Python;Ruby;SQL;TypeScript,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,AWS;Firebase;Google Cloud,DigitalOcean;Heroku,2022
18-24 years old,Man,Prefer not to say,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,India,"Employed, full-time",Other (please specify):,Indian rupee,INR,25000.0,Monthly,3864.0,2,Less than 1 year,Linux-based,,,,,Bash/Shell;Java;Python,Bash/Shell;Java;Python,AWS,AWS,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,India,"Employed, full-time","Developer, full-stack",Indian rupee,INR,,,,4,2,Linux-based,Elasticsearch;MongoDB;MySQL;Redis;SQLite,MongoDB;MySQL;SQLite,Express;Next.js;Node.js;React.js,Express;Next.js;Node.js;React.js,C++;Go;Java;JavaScript;Swift;TypeScript,C;C++;Go;Java;JavaScript;TypeScript,AWS,DigitalOcean,2022
25-34 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,"Just me - I am a freelancer, sole proprietor, etc.",USA,"Independent contractor, freelancer, or self-employed","Developer, full-stack",United States dollar,USD,180000.0,Yearly,180000.0,10,6,Linux-based;Windows,Cloud Firestore;MySQL;PostgreSQL;Redis,Cassandra;Cloud Firestore;MySQL;Oracle;Redis,React.js;Svelte;Vue.js,Gatsby;React.js,Bash/Shell;Go;Kotlin,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Solidity;TypeScript,Firebase;Google Cloud,Firebase;Google Cloud,2022
25-34 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,Germany,"Employed, full-time",Data scientist or machine learning specialist;Academic researcher;Cloud infrastructure engineer,European Euro,EUR,,Monthly,,3,2,Linux-based;Windows,MongoDB,MongoDB;PostgreSQL,,,Bash/Shell;Java;Python,Bash/Shell;Java;Python;R;Scala;SQL,OpenStack;VMware,OpenStack;VMware,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, embedded applications or devices",United States dollar,USD,,,,6,1,Linux-based,MySQL,MySQL,,ASP.NET Core ,Assembly;Bash/Shell;C;C++;Python,Assembly;Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;Python;SQL,DigitalOcean,DigitalOcean;Google Cloud,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,India,"Employed, full-time","Developer, full-stack",Indian rupee,INR,1200000.0,Yearly,15477.0,10,1,macOS,Cloud Firestore;MySQL;PostgreSQL;Redis,Cloud Firestore;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Blazor;Next.js;Node.js;Nuxt.js;React.js;Ruby on Rails;Svelte;Vue.js,Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Express;jQuery;Next.js;Node.js;React.js;Ruby on Rails,JavaScript;Ruby;Rust;SQL;TypeScript,C;C#;C++;Java;JavaScript;MATLAB;Perl;Python;Ruby;SQL;TypeScript,Firebase;Heroku;Microsoft Azure,Firebase;Google Cloud;Heroku;Microsoft Azure,2022
25-34 years old,Man,Prefer not to say,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,India,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, back-end",Indian rupee,INR,34500.0,Monthly,5340.0,4,4,Windows,MySQL,MySQL,jQuery;React.js,jQuery,HTML/CSS;JavaScript;PHP,HTML/CSS;JavaScript;PHP,,,2022
25-34 years old,Man,Straight / Heterosexual,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",Germany,"Employed, full-time","Engineer, data;Developer, back-end;System administrator",European Euro,EUR,,Monthly,,8,4,Windows Subsystem for Linux (WSL),Elasticsearch;MongoDB;PostgreSQL,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL,FastAPI,FastAPI;Flask,Java;Python,Java;Python,,,2022
25-34 years old,Prefer not to say,Prefer not to say,Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",India,"Employed, full-time","Developer, back-end",Indian rupee,INR,10000000.0,Yearly,128972.0,9,6,Linux-based;macOS,Elasticsearch;MongoDB;Neo4j;SQLite,DynamoDB;MongoDB;MySQL;Neo4j;Redis;SQLite,Django;Flask;Node.js,Django;Flask,Bash/Shell;Erlang;Go;Haskell;Java;Python,Bash/Shell;Go;Java;Python,AWS;Google Cloud;Heroku,AWS,2022
35-44 years old,Man,Straight / Heterosexual,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",Germany,"Employed, full-time","Developer, back-end;DevOps specialist",European Euro,EUR,75000.0,Yearly,79983.0,15,12,macOS,PostgreSQL;Redis,PostgreSQL;Redis,Django;FastAPI;React.js,Django;FastAPI;Flask;Gatsby;jQuery;React.js,Bash/Shell;Go;Python;Rust,Bash/Shell;C;JavaScript;Python;Rust;TypeScript,AWS;Google Cloud,AWS;Google Cloud,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,India,"Student, full-time",,,,,,,4,,Windows,PostgreSQL,MySQL;PostgreSQL,,,C++;Dart,C++;Dart;Java;Python,,,2022
35-44 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",India,"Employed, full-time","Developer, back-end",Indian rupee,INR,135000.0,Monthly,20892.0,15,15,Windows,DynamoDB;Elasticsearch;SQLite,Microsoft SQL Server,React.js;Svelte,ASP.NET;ASP.NET Core ,Bash/Shell;C#;PowerShell;Python,C#;Python,,,2022
35-44 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",Germany,"Employed, part-time","Engineer, data;Developer, back-end;Cloud infrastructure engineer",European Euro,EUR,4000.0,Monthly,51192.0,25,15,,,MongoDB,,Node.js,Rust,Java;TypeScript,,Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,India,"Employed, full-time","Developer, full-stack",Indian rupee,INR,2500000.0,Yearly,32243.0,7,4,macOS;Windows,Microsoft SQL Server;PostgreSQL;Redis,Microsoft SQL Server;PostgreSQL;Redis,Angular;ASP.NET Core ;Blazor;React.js;Vue.js,Angular;ASP.NET;ASP.NET Core ;Blazor,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,DigitalOcean;Microsoft Azure,AWS;DigitalOcean;Microsoft Azure,2022
55-64 years old,Man,Straight / Heterosexual,European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Just me - I am a freelancer, sole proprietor, etc.",UK,"Independent contractor, freelancer, or self-employed",Designer,Pound sterling,GBP,,,,25,25,Linux-based;Windows,MariaDB;MongoDB;MySQL;SQLite,MariaDB;MongoDB;MySQL;SQLite,jQuery;Node.js,jQuery;Node.js,C#;HTML/CSS;JavaScript;Lua;PHP;SQL;VBA,C#;HTML/CSS;JavaScript;Lua;PHP;SQL;VBA,,,2022
25-34 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",Canada,"Employed, full-time",Data scientist or machine learning specialist;Academic researcher;Scientist,Canadian dollar,CAD,80000.0,Yearly,62467.0,15,6,Linux-based;Windows,,Redis;SQLite,,jQuery;Ruby on Rails,,C++;JavaScript;PowerShell;Python;R;Ruby;SQL,,DigitalOcean,2022
18-24 years old,Man,Straight / Heterosexual,Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,India,"Employed, full-time","Developer, full-stack;Blockchain",Indian rupee,INR,,Yearly,,6,2,,Firebase Realtime Database,Cloud Firestore;MongoDB;MySQL;SQLite,,Flask;Laravel;Node.js;React.js,,Bash/Shell;C;C++;Dart;HTML/CSS;JavaScript;PHP;PowerShell;Python;Solidity;SQL,,AWS;Firebase,2022
